unix,player_name,opp_name,player_elo,opp_elo,elo_diff,player_acc,opp_acc,acc_diff,color,x-ma5,x-ma20,opp_x-ma5,opp_x-ma20,won,num_reque,time_since_prev,prev_acc,prev_x-ma5,prev_x-ma20
1696185098,BIG_TONKA_T,Quarini,1090,1063,27,69.43,62.25,7.180000000000007,False,,,-5.7999999999999545,-22.450000000000045,1.0,0,0,,,
1696186352,BIG_TONKA_T,hgarciarod,1097,1091,6,78.2,69.4,8.799999999999997,True,,,10.599999999999909,14.849999999999909,1.0,0,1254,69.43,,
1696187659,BIG_TONKA_T,HERFJERF,1105,1139,-34,92.66,80.43,12.22999999999999,False,,,4.7999999999999545,-4.7999999999999545,1.0,0,1307,78.2,,
1696188843,BIG_TONKA_T,olas109,1114,1091,23,67.25,60.95,6.299999999999997,True,,,-2.400000000000091,3.2000000000000455,,1,1184,92.66,,
1696189372,BIG_TONKA_T,InkLv,1113,1105,8,83.82,72.41,11.409999999999997,False,9.200000000000045,,6.2000000000000455,39.15000000000009,1.0,2,529,67.25,,
1696190619,BIG_TONKA_T,alamrini,1121,1105,16,80.57,78.02,2.549999999999997,True,11.0,,4.400000000000091,-14.150000000000091,0.0,3,1247,83.82,9.200000000000045,
1696191447,BIG_TONKA_T,djgreen1,1113,1143,-30,64.5,57.93,6.57,True,-0.20000000000004547,,-2.400000000000091,-7.2000000000000455,1.0,4,828,80.57,11.0,
1696192994,BIG_TONKA_T,Pytoo91,1122,1088,34,51.35,64.64,-13.29,False,5.400000000000091,,6.7999999999999545,-6.4500000000000455,0.0,0,1547,64.5,-0.20000000000004547,
1696193859,BIG_TONKA_T,mumergaddafi,1113,1078,35,73.48,58.18,15.300000000000004,True,-3.400000000000091,,7.599999999999909,3.0499999999999545,1.0,1,865,51.35,5.400000000000091,
1696196998,BIG_TONKA_T,Copertus,1120,1122,-2,79.47,66.51,12.959999999999994,True,2.2000000000000455,,2.7999999999999545,7.650000000000091,1.0,0,3139,73.48,-3.400000000000091,
1696198095,BIG_TONKA_T,CyborgCerberus94,1128,1109,19,65.14,81.79,-16.650000000000006,False,8.799999999999955,,8.799999999999955,14.799999999999955,0.0,1,1097,79.47,2.2000000000000455,
1696198904,BIG_TONKA_T,Nadirmitch,1120,1108,12,72.26,81.09,-8.829999999999998,False,-0.599999999999909,,11.799999999999955,-6.5499999999999545,0.0,2,809,65.14,8.799999999999955,
1696199393,BIG_TONKA_T,Rensa0,1112,1114,-2,66.79,84.58,-17.789999999999992,False,-6.599999999999909,,10.200000000000045,-6.650000000000091,0.0,3,489,72.26,-0.599999999999909,
1696199848,BIG_TONKA_T,wimperneel,1104,1004,100,89.37,75.74,13.63000000000001,True,-12.799999999999955,,6.2000000000000455,15.75,1.0,4,455,66.79,-6.599999999999909,
1696201799,BIG_TONKA_T,nightjumper39,1110,1110,0,81.03,75.07,5.960000000000008,False,-4.7999999999999545,,-3.0,5.5,0.0,0,1951,89.37,-12.799999999999955,
1696202729,BIG_TONKA_T,Spiderbreeze,1102,1133,-31,83.79,91.24,-7.449999999999989,True,-7.599999999999909,,5.7999999999999545,-7.150000000000091,1.0,1,930,81.03,-4.7999999999999545,
1696203241,BIG_TONKA_T,milton2000,1111,1150,-39,58.15,67.69,-9.54,True,3.2000000000000455,,15.0,27.450000000000045,0.0,2,512,83.79,-7.599999999999909,
1696203567,BIG_TONKA_T,ahmedtaha09,1104,1093,11,73.39,80.84,-7.450000000000003,True,-2.2000000000000455,,9.599999999999909,4.099999999999909,0.0,3,326,58.15,3.2000000000000455,
1696204499,BIG_TONKA_T,Godofspeeds,1096,1099,-3,71.57,62.59,8.97999999999999,False,-8.599999999999909,,7.2000000000000455,-1.5499999999999545,1.0,4,932,73.39,-2.2000000000000455,
1696204810,BIG_TONKA_T,Krop_duster,1104,1143,-39,69.51,64.23,5.280000000000001,True,0.599999999999909,33.049999999999955,0.7999999999999545,-11.900000000000091,1.0,5,311,71.57,-8.599999999999909,
1696205455,BIG_TONKA_T,nickringgod,1113,1125,-12,,,,True,7.400000000000091,13.900000000000091,11.599999999999909,-11.849999999999909,0.0,6,645,69.51,0.599999999999909,33.049999999999955
1696205894,BIG_TONKA_T,8akk3,1105,1144,-39,69.6,78.74,-9.14,True,0.599999999999909,32.5,,,0.0,7,439,,7.400000000000091,13.900000000000091
1696206300,BIG_TONKA_T,lilchernobyl,1098,1085,13,,,,False,-5.2000000000000455,-26.15000000000009,3.400000000000091,-0.650000000000091,1.0,8,406,69.6,0.599999999999909,32.5
1696206767,BIG_TONKA_T,SamtheTimTamMan,1106,1042,64,72.07,81.2,-9.13000000000001,False,0.7999999999999545,-68.75,-6.599999999999909,-9.299999999999955,1.0,9,467,,-5.2000000000000455,-26.15000000000009
1696207798,BIG_TONKA_T,unicorndash1,1113,1193,-80,73.27,73.63,-0.35999999999999943,False,6.0,82.25,1.0,-11.150000000000091,0.0,10,1031,72.07,0.7999999999999545,-68.75
1696208379,BIG_TONKA_T,Robari1,1107,1123,-16,72.2,70.37,1.8299999999999983,True,1.2000000000000455,12.950000000000045,-5.7999999999999545,-13.099999999999909,0.0,11,581,73.27,6.0,82.25
1696209429,BIG_TONKA_T,DrimoDramo,1099,1140,-41,58.33,60.02,-1.6900000000000048,False,-5.599999999999909,30.65000000000009,-3.0,-19.5,0.0,12,1050,72.2,1.2000000000000455,12.950000000000045
1696209557,BIG_TONKA_T,Hoaiarc,1092,1111,-19,56.02,57.17,-1.1499999999999986,True,-11.400000000000091,3.150000000000091,-1.599999999999909,15.150000000000091,0.0,13,128,58.33,-5.599999999999909,30.65000000000009
1696209906,BIG_TONKA_T,ochuckster123,1084,1067,17,60.85,71.34,-10.490000000000002,True,-15.0,-39.40000000000009,-1.599999999999909,-10.299999999999955,0.0,14,349,56.02,-11.400000000000091,3.150000000000091
1696211117,BIG_TONKA_T,SirKennard,1076,1101,-25,61.52,67.28,-5.759999999999998,False,-15.599999999999909,-3.2000000000000455,-5.400000000000091,-9.0,0.0,15,1211,60.85,-15.0,-39.40000000000009
1696211419,BIG_TONKA_T,Rick_woote,1069,1035,34,55.72,69.76,-14.040000000000006,True,-15.0,-66.25,13.399999999999977,5.900000000000091,0.0,16,302,61.52,-15.599999999999909,-3.2000000000000455
1696211842,BIG_TONKA_T,Callsign_Gimli,1060,1029,31,,,,False,-16.200000000000045,-69.25,-8.200000000000045,-21.5,1.0,17,423,55.72,-15.0,-66.25
1696212899,BIG_TONKA_T,zzyix,1067,1108,-41,76.94,74.95,1.9899999999999949,False,-4.2000000000000455,12.0,-15.400000000000091,-34.299999999999955,,18,1057,,-16.200000000000045,-69.25
1696213424,BIG_TONKA_T,RedscareRAM,1068,1102,-34,72.39,82.08,-9.689999999999998,False,0.0,7.7999999999999545,-0.599999999999909,-0.20000000000004547,0.0,19,525,76.94,-4.2000000000000455,12.0
1696214256,BIG_TONKA_T,Alex-Sokol,1061,1057,4,44.29,57.84,-13.550000000000004,True,-4.0,-34.75,9.200000000000045,15.200000000000045,0.0,20,832,72.39,0.0,7.7999999999999545
1696214768,BIG_TONKA_T,ejonokuchi,1053,1025,28,51.02,59.5,-8.479999999999997,False,-8.799999999999955,-64.29999999999995,-3.0,5.399999999999977,0.0,21,512,44.29,-4.0,-34.75
1696214957,BIG_TONKA_T,EasyRider3202,1044,1006,38,76.72,90.23,-13.510000000000005,True,-14.599999999999909,-79.95000000000005,16.399999999999977,47.60000000000002,0.0,22,189,51.02,-8.799999999999955,-64.29999999999995
1696215254,BIG_TONKA_T,instant_10,1035,941,94,54.83,62.0,-7.170000000000002,True,-17.200000000000045,-141.5,9.200000000000045,7.2999999999999545,0.0,23,297,76.72,-14.599999999999909,-79.95000000000005
1696215554,BIG_TONKA_T,Ysulai,1025,1104,-79,65.16,71.21,-6.049999999999997,False,-18.59999999999991,25.049999999999955,16.40000000000009,6.900000000000091,0.0,24,300,54.83,-17.200000000000045,-141.5
1696216300,BIG_TONKA_T,JohannFehrmann,1019,1010,9,79.31,73.51,5.799999999999997,True,-16.200000000000045,-64.70000000000005,-13.200000000000045,-4.7000000000000455,1.0,25,746,65.16,-18.59999999999991,25.049999999999955
1696216817,BIG_TONKA_T,Ek3498,1027,1049,-22,81.75,71.81,9.939999999999998,True,-3.0,-21.40000000000009,6.7999999999999545,26.799999999999955,1.0,26,517,79.31,-16.200000000000045,-64.70000000000005
1696217180,BIG_TONKA_T,georgemetcalf22,1036,1057,-21,90.39,76.96,13.430000000000007,False,7.599999999999909,-9.950000000000045,4.7999999999999545,-26.200000000000045,1.0,27,363,81.75,-3.0,-21.40000000000009
1696218344,BIG_TONKA_T,Rotorhead64,1044,1036,8,77.55,64.03,13.519999999999996,True,13.799999999999955,-28.25,10.200000000000045,30.799999999999955,1.0,28,1164,90.39,7.599999999999909,-9.950000000000045
1696219201,BIG_TONKA_T,defeatlazydoor,1052,1048,4,89.07,73.6,15.469999999999999,False,16.40000000000009,-13.549999999999955,-6.400000000000091,8.549999999999955,1.0,29,857,77.55,13.799999999999955,-28.25
1696220379,BIG_TONKA_T,karthikpan,1060,1072,-12,71.9,67.93,3.969999999999999,False,16.200000000000045,13.099999999999909,-1.400000000000091,-18.40000000000009,,30,1178,89.07,16.40000000000009,-13.549999999999955
1696220633,BIG_TONKA_T,OrangPeeler,1060,1094,-34,76.2,72.4,3.799999999999997,True,9.599999999999909,37.450000000000045,1.7999999999999545,1.900000000000091,1.0,31,254,71.9,16.200000000000045,13.099999999999909
1696221064,BIG_TONKA_T,jackpotbrandon,1069,1094,-25,77.82,70.51,7.309999999999988,False,12.0,38.950000000000045,2.2000000000000455,5.650000000000091,1.0,32,431,76.2,9.599999999999909,37.450000000000045
1696221474,BIG_TONKA_T,Pseudonym20,1078,1075,3,81.96,65.96,16.0,True,14.200000000000045,20.65000000000009,9.200000000000045,,1.0,33,410,77.82,12.0,38.950000000000045
1696222073,BIG_TONKA_T,GeorgeLamponi,1086,1047,39,58.76,67.92,-9.160000000000004,True,15.400000000000091,-7.4500000000000455,0.599999999999909,-18.65000000000009,0.0,34,599,81.96,14.200000000000045,20.65000000000009
