unix,player_elo,opp_elo,opp_name,opp_30d,elo_diff,color,player_acc,opp_acc,acc_diff,won,num_reque,time_since_prev,opp_num_reque,opp_time_since_prev
1696185098,1090,1063,Quarini,249,27,False,69.43,62.25,7.180000000000007,1.0,0,0,2,325
1696186352,1097,1091,hgarciarod,339,6,True,78.2,69.4,8.799999999999997,1.0,0,1254,2,1108
1696187659,1105,1139,HERFJERF,113,-34,False,92.66,80.43,12.22999999999999,1.0,0,1307,0,48092
1696188843,1114,1091,olas109,178,23,True,67.25,60.95,6.299999999999997,,1,1184,8,977
1696189372,1113,1105,InkLv,116,8,False,83.82,72.41,11.409999999999997,1.0,2,529,1,557
1696190619,1121,1105,alamrini,308,16,True,80.57,78.02,2.549999999999997,0.0,3,1247,0,5208
1696191447,1113,1143,djgreen1,193,-30,True,64.5,57.93,6.57,1.0,4,828,3,832
1696192994,1122,1088,Pytoo91,221,34,False,51.35,64.64,-13.29,0.0,0,1547,0,1318
1696193859,1113,1078,mumergaddafi,121,35,True,73.48,58.18,15.300000000000004,1.0,1,865,18,892
1696196998,1120,1122,Copertus,505,-2,True,79.47,66.51,12.959999999999994,1.0,0,3139,0,13265
1696198095,1128,1109,CyborgCerberus94,42,19,False,65.14,81.79,-16.650000000000006,0.0,1,1097,0,2098
1696198904,1120,1108,Nadirmitch,143,12,False,72.26,81.09,-8.829999999999998,0.0,2,809,1,818
1696199393,1112,1114,Rensa0,339,-2,False,66.79,84.58,-17.789999999999992,0.0,3,489,3,590
1696199848,1104,1004,wimperneel,104,100,True,89.37,75.74,13.63000000000001,1.0,4,455,0,1385
1696201799,1110,1110,nightjumper39,1076,0,False,81.03,75.07,5.960000000000008,0.0,0,1951,6,1219
1696202729,1102,1133,Spiderbreeze,105,-31,True,83.79,91.24,-7.449999999999989,1.0,1,930,3,953
1696203241,1111,1150,milton2000,163,-39,True,58.15,67.69,-9.54,0.0,2,512,2,571
1696203567,1104,1093,ahmedtaha09,127,11,True,73.39,80.84,-7.450000000000003,0.0,3,326,0,6064
1696204499,1096,1099,Godofspeeds,166,-3,False,71.57,62.59,8.97999999999999,1.0,4,932,6,1138
1696204810,1104,1143,Krop_duster,94,-39,True,69.51,64.23,5.280000000000001,1.0,5,311,2,334
1696205455,1113,1125,nickringgod,30,-12,True,,,,0.0,6,645,3,594
1696205894,1105,1144,8akk3,3,-39,True,69.6,78.74,-9.14,0.0,7,439,0,446786
1696206300,1098,1085,lilchernobyl,250,13,False,,,,1.0,8,406,3,408
1696206767,1106,1042,SamtheTimTamMan,166,64,False,72.07,81.2,-9.13000000000001,1.0,9,467,0,47404
1696207798,1113,1193,unicorndash1,84,-80,False,73.27,73.63,-0.35999999999999943,0.0,10,1031,0,215161
1696208379,1107,1123,Robari1,457,-16,True,72.2,70.37,1.8299999999999983,0.0,11,581,0,24562
1696209429,1099,1140,DrimoDramo,396,-41,False,58.33,60.02,-1.6900000000000048,0.0,12,1050,10,1059
1696209557,1092,1111,Hoaiarc,158,-19,True,56.02,57.17,-1.1499999999999986,0.0,13,128,3,170
1696209906,1084,1067,ochuckster123,259,17,True,60.85,71.34,-10.490000000000002,0.0,14,349,2,369
1696211117,1076,1101,SirKennard,113,-25,False,61.52,67.28,-5.759999999999998,0.0,15,1211,0,52951
1696211419,1069,1035,Rick_woote,220,34,True,55.72,69.76,-14.040000000000006,0.0,16,302,24,304
1696211842,1060,1029,Callsign_Gimli,726,31,False,,,,1.0,17,423,59,423
1696212899,1067,1108,zzyix,277,-41,False,76.94,74.95,1.9899999999999949,,18,1057,2,1058
1696213424,1068,1102,RedscareRAM,44,-34,False,72.39,82.08,-9.689999999999998,0.0,19,525,0,90375
1696214256,1061,1057,Alex-Sokol,84,4,True,44.29,57.84,-13.550000000000004,0.0,20,832,8,855
1696214768,1053,1025,ejonokuchi,143,28,False,51.02,59.5,-8.479999999999997,0.0,21,512,1,490
1696214957,1044,1006,EasyRider3202,60,38,True,76.72,90.23,-13.510000000000005,0.0,22,189,6,461
1696215254,1035,941,instant_10,47,94,True,54.83,62.0,-7.170000000000002,0.0,23,297,1,374
1696215554,1025,1104,Ysulai,158,-79,False,65.16,71.21,-6.049999999999997,0.0,24,300,4,322
